,AAA Organization Name,AAA Year Found,AAA EIN,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,netgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,pyprogramservicerevenueamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,pybenefitspaidtomembersamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,pytotalproffndrsngexpnsamt,cytotalproffndrsngexpnsamt,pytotalfundraisingexpenseamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,100 Black Men of Greater Washington DC,2018,521998131,MENTORING AFRICAN AMERICAN YOUTH,15,15,0,44,0,SELECT-KEY-WRITE-NULL,83846,35260,32350,81325,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,0,116196,116585,1500,0,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,3685,116438,74640,117938,74640,-1742,41945,20379,44874,17702,0,2677,44874
0,826DC,2018,262426166,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,12,11,6,250,-17108,SELECT-KEY-WRITE-NULL,475368,669012,HEADERFILL-NULL,1750,57,5,-22156,35098,453269,705865,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,0,303191,333459,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,176517,353018,271149,656209,604608,-202940,101257,261671,350120,285088,272280,-23417,77840
0,Asian American LEAD,2018,522102012,To promote the well-being of Asian Pacific American youth and families. See Part III,14,13,40,45,0,SELECT-KEY-WRITE-NULL,946716,927914,0,0,88790,76692,8399,0,1043905,1004606,0,0,0,0,1110525,1011978,0,0,SELECT-KEY-WRITE-NULL,123479,281563,234986,1392088,1246964,-348183,-242358,1163663,935748,84421,130961,1079242,804787
0,Atlas Performing Arts Center,2018,522358563,"SEE PART III, LINE 1.",21,20,48,65,6218,SELECT-KEY-WRITE-NULL,1180982,1311424,834489,958114,1663,-5152,771222,735393,2788356,2999779,0,0,0,0,998371,1263984,0,0,SELECT-KEY-WRITE-NULL,219675,2103461,2071237,3101832,3335221,-313476,-335442,17176888,16696817,7191437,7021168,9985451,9675649
0,Beacon House Community Ministry,2018,521773366,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,10,9,21,150,0,SELECT-KEY-WRITE-NULL,1085424,1030056,19404,43554,9765,53231,5874,72,1120467,1126913,0,0,0,0,553500,626754,0,0,SELECT-KEY-WRITE-NULL,109035,696498,584743,1249998,1211497,-129531,-84584,1271332,1145059,99890,106001,1171442,1039058
0,Best Friends Foundation,2018,521844471,"THE BEST FRIENDS FOUNDATION PROVIDES AN EDUCATIONAL CURRICULUM AND/OR GROUP ASSEMBLIES IN THE METROPOLITAN WASHINGOTN DC AREA FOR ADOLESCENT GIRLS AND BOYS, AGED 10-18, WHICH PROMOTES SELF-RESPECT THROUGH THE PRACTICE SELF -CONTROL BY PROVIDING SKILLS AND GUIDANCE WHICH HELPS THEM AVOID RISK BEHAVIOR. THE FIVE BASIC GOALS OF THE PROGRAM ARE:1. TO DEVELOP CRITICAL THINKING SKILLS IN ADOLESCENT GIRLS AND BOYS TO ENABLE THEM TO PROGRESS FROM THE CONCRETE TO THE FORMAL OPERATIONAL STATE OF REASONING.2. TO DEVELOP A SENSE OF SELF-RESPECT AND SELF-WORTH THROUGH ACHIEVEMENT AND COMMUNITY SERVICE.3. TO ENRICH THE LIVES OF ADOLESCENT GIRLS AND BOYS BY PROMOTING THIER ASPIRATIONS AND PROVIDING DECISION MAKING SKILLS.4. TO INCORPORATE THE SCHOOL AN FAMILIES INTO THE ADOLESCENT GIRLS AND BOY'S SUPPORT SYSTEM.5. TO PROVIDE POSITIVE PEER GROUPS FOR 10-18 YEAR OLD GIRLS IN WHICH THEY ARE VALUED MEMBERS AND IN WHICH THEY HAVE A SENSE OF CONNECTION TO THIER SCHOOL AND TO EACH OTHER.",7,6,1,0,0,SELECT-KEY-WRITE-NULL,291353,529764,0,0,11,12,34328,0,325692,529776,0,2000,0,0,0,155927,0,0,SELECT-KEY-WRITE-NULL,0,294392,408511,294392,566438,31300,-36662,57918,28291,678,59251,57240,-30960
0,Boys & Girls Clubs of Greater Washington,2018,530236759,"BOYS & GIRLS CLUBS OF GREATER WASHINGTON, INC. (BGCGW) IS A DISTRICT OF COLUMBIA NON-PROFIT ORGANIZATION, INCORPORATED IN 1886, WHICH IS COMMITTED TO HELPING YOUTH OF ALL BACKGROUNDS, ESPECIALLY THOSE WHO NEED US MOST, BUILD CONFIDENCE, DEVELOP CHARACTER AND ACQUIRE THE SKILLS NEEDED TO BECOME PRODUCTIVE, CIVIC-MINDED AND RESPONSIBLE ADULTS.",40,40,307,764,0,SELECT-KEY-WRITE-NULL,7327132,5193793,2129433,2145841,573395,155,288891,1630090,10318851,8969879,37309,46250,0,0,6609730,6194994,29633,0,SELECT-KEY-WRITE-NULL,1166241,4451424,5017002,11128096,11258246,-809245,-2288367,17634943,15375491,4435309,4477943,13199634,10897548
0,BUILD Metro DC,2018,943386695,"BUILD's mission is to use entrepreneurship to excite and propel low-income, disengaged youth through high school to college success. BUILD is committed to helping disadvantaged youth in America's most underserved communities gain the knowledge and ability to persevere in college and beyond. While academic proficiency is necessary, it is not sufficient to prepare students for college and their careers. The missing piece is for our youth to acquire 21st century skills - critical thinking and problem-solving, self-directed learning and collaboration - All of which are best learned through a hands-on, real-life experience like starting a business.",15,14,218,1395,0,SELECT-KEY-WRITE-NULL,12422056,11007114,72250,193000,-3702,9941,-556099,-649353,11934505,10560702,76187,120900,0,0,7259197,10359101,0,178657,SELECT-KEY-WRITE-NULL,1941223,2747842,2855643,10083226,13514301,1851279,-2953599,5546301,2685241,480762,573301,5065539,2111940
0,CitiWide Computer Training Center,2018,521821950,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,2,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,288491,237821,HEADERFILL-NULL,0,HEADERFILL-NULL,0,HEADERFILL-NULL,0,288491,237821,HEADERFILL-NULL,0,HEADERFILL-NULL,0,85619,25091,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,0,251825,191490,337444,216581,-48953,21240,176457,178594,113148,94045,63309,84549
0,CityDance Emsemble,2018,522165072,"CITYDANCE IS AN ARTS AND EDUCATION LEADER THROUGHOUT THE DC METROPOLITAN AREA. WITH ITS MISSION TO TRANSFORM LIVES AND COMMUNITIES THROUGH DANCE, CITYDANCE PRODUCES AND PRESENTS WORLD-CLASS DANCE; TRAINS YOUNG DANCERS FOR PROFESSIONAL CAREERS; AND (CONTINUED ON SCHEDULE O)",15,15,36,19,0,SELECT-KEY-WRITE-NULL,1775717,1395722,1878794,1919424,HEADERFILL-NULL,0,HEADERFILL-NULL,0,3654511,3315146,HEADERFILL-NULL,0,HEADERFILL-NULL,0,1280831,1355127,HEADERFILL-NULL,0,SELECT-KEY-WRITE-NULL,208107,1603265,1679049,2884096,3034176,770415,280970,1528599,1851951,227418,269800,1301181,1582151
