org_name,ein
826DC,262426166
After-School All-Stars,954441208
Beacon House Community Ministry Inc,521773366
Capitol Movement Inc,352281200
CentroNia,251689720
City Gate Inc,522272180
Common Threads,200106847
Community Services Foundation,452635513
Dance Place (DC Wheel Productions),521118504
DC Creative Writing Workshop,522221613
DC Scores,522230721
Field of Dreams,522108599
Fishing School, Inc.	521736536
Friends of Fort Dupont Ice Arena Inc.,521985982
Future Project,274374555
Girls on the Run DC,743218001
Growing Together Incorporated,521631340
Healthy Babies Project,521711352
Hung Tao Choy Mei Leadership Institute,113679500
Just Keep Livin Foundation,203921057
Latin American Youth Center Inc,521023074
Life Pieces to Masterpieces,522076894
Little Lights Urban Ministries,522125232
Reading Partners,770568469
Recreation Wish List Committee of Washington DC,521939752
Split This Rock Inc,264559492
Techbridge Girls,274162514
The Learning Tree Inc,262963674
Urban Alliance Foundation Inc,521938443
Washington Nationals Youth Baseball Academy,453990897
Young Ladies of Tomorrow Inc,522203869
Youth Leadership Foundation Inc,522016259
Zenith Community Art Foundation,364385716
Howard University,530204707
Community Services Foundation,363650550
Future Project,274374555
Field of Dreams,342034830
Common Threads,200106847
City Gate,522272180
Youth Leadership Foundation,522016259
Learning Tree,521235124
Springboard,453719806
Boys & Girls Clubs of Greater Washington,530236759
Martha's Table,521186071
Mary's Center,521594116
Project Create,421559894
Crittenton Services of Greater Washington,530196511
Washington School for Girls,522031849
Dance Institute of Washington,521851373
Washington Tennis & Education Foundation,526046504
Sasha Bruce Youthworks,521006486
Jubilee Housing,520986261
YWCA,530207403
National Housing Trust,311662007
Horton's Kids,521755403
Kid Power,010718284
Mentors of Minorities in Education,521890845
Hung Tao Choy Mei,113679500
Do the Write Thing Foundation,201336966
100 Black Men of Greater Washington DC ,521998131
826DC,262426166
After-School All-Stars,954441208
AIM Basketball Association (AIMBA) LLC,
Amy Jacques Garvey Institute ,521479811
Arena Stage at the Mead Center for American Theater ,530246894
Arts for Our Children ,521962699
ArtsGroup ,
Asian American LEAD,522102012
Atlas Performing Arts Center,522358563
Beacon House Community Ministry ,521773366
Best Friends Foundation,521844471
Boys & Girls Clubs of Greater Washington ,530236759
Brighter Day Enrichment Academy (BDEA),800832749
BUILD Metro DC,943386695
Calvin Coolidge Alumni Association ,208865134
Capital Hills Boys Club Foundation,
Capitol Education Support ,
Capitol Movement ,352281200
CentroNia,251689720
Cadence Episcopal Day School - The Cadence Group Ceo Kids Of Washington,521806439
Children & Charity International,753121647
CitiWide Computer Training Center,521821950
City Gate,522272180
City Kids Wilderness Project ,521976304
CityDance Emsemble ,522165072
College Success Foundation-DC,205561911
College Tribe,205508155
Common Threads,200106847
Community Services Foundation,452635513
Dance Institue of Washington ,521851373
