,AAA Organization Name,AAA Year Found,AAA EIN,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,100 Black Men of Greater Washington DC,2018,521998131,MENTORING AFRICAN AMERICAN YOUTH,15,15,0,44,0,83846,35260,81325,SELECT-KEY-WRITE-NULL,0,SELECT-KEY-WRITE-NULL,0,116196,116585,1500,0,0,SELECT-KEY-WRITE-NULL,0,0,3685,116438,74640,117938,74640,-1742,41945,20379,44874,17702,0,2677,44874
0,100 Black Men of Greater Washington DC,2017,521998131,MENTORING AFRICAN AMERICAN YOUTH,42,37,0,10,0,76396,83846,32350,,0,,0,114836,116196,,1500,0,,0,0,27207,97752,116438,97752,117938,17084,-1742,33676,20379,29257,17702,4419,2677
0,100 Black Men of Greater Washington DC,2016,521998131,MENTORING AFRICAN AMERICAN YOUTH,39,0,0,10,0,53408,76396,38440,,0,61196,0,133125,114836,,0,0,,0,0,15638,120390,97752,120390,97752,12735,17084,2387,33676,15052,29257,-12665,4419
0,100 Black Men of Greater Washington DC,2015,521998131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12665,4419
0,100 Black Men of Greater Washington DC,2014,521998131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13328,-12665
0,826DC,2018,262426166,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,12,11,6,250,-17108,475368,669012,1750,57,5,-22156,35098,453269,705865,,0,0,303191,333459,0,176517,353018,271149,656209,604608,-202940,101257,261671,350120,285088,272280,-23417,77840
0,826DC,2017,262426166,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,14,14,6,200,-32913,659632,475368,0,447,57,-8553,-22156,652463,453269,,0,0,233113,303191,0,199680,279955,353018,513068,656209,139395,-202940,320828,261671,141305,285088,179523,-23417
0,826DC,2016,262426166,"826DC is dedicated to supporting students ages 6-18 with their creative and expository writing skills, and to helping teachers inspire their students to write. Great leaps in learning can happen with one-on-one attention, and strong writing skills are fundamental to success.",11,11,5,,-13540,430303,659632,937,,447,-30724,-8553,399579,652463,,0,0,118568,233113,0,132691,231675,279955,356243,513068,43336,139395,126095,320828,105108,141305,20987,179523
0,826DC,2014,262426166,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,11,11,3,1244,-32634,427220,430303,0,,0,-21228,-30724,410142,399579,,0,0,109400,118568,6000,51012,230961,231675,340361,356243,69781,43336,103512,126095,126111,105108,-22599,20987
0,A Washington Field of Dreams,2017,522108599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5404,-48
0,A Washington Field of Dreams,2016,522108599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,-5404
0,After-School All-Stars,2017,954441208,"ASAS PROVIDES FREE, HIGH-QUALITY AFTER-SCHOOL PROGRAMS TO LOW-INCOME, INNER CITY YOUTH ACROSS THE COUNTRY, NEARLY 90,000 STUDENTS ON OVER 350 SCHOOL SITES OUR GOAL FOR OUR ALL-STARS ARE THE SAME WE HAVE FOR OUR OWN CHILDREN TO BE HEALTHY ACTIVE, TO GRADUATE HIGH SCHOOL AND GO ON TO COLLEGE, TO FIND A JOB THAT THEY WILL LOVEAND TO GIVE BACK TO THEIR COMMUNITIES. WE ACHIEVE THIS BY FUELING OUR STUDENTS' PASSION BY TYING THEIR INTERESTS TO ACADEMIC SUPPORT, ENRICHMENT ACTIVITIES AND HEALTH AND FITNESS PROGRAMS THAT INSTILL THE CONFIDENCE AND RESILIENCE THEY'LL NEED TO SUCCESS IN SCHOOL AND IN LIFE.",26,26,235,25,0,5217462,8367105,109956,259,0,851913,1188516,6317940,9665577,1006469,1372200,0,2840813,5059038,0,607467,2076982,2205613,5924264,8636851,393676,1028726,3606435,5072334,347476,784649,3258959,4287685
0,After-School All-Stars,2016,954441208,"ASAS PROVIDES FREE, HIGH-QUALITY AFTER-SCHOOL PROGRAMS TO LOW-INCOME, INNER CITY YOUTH ACROSS THE COUNTRY, NEARLY 90,000 STUDENTS ON OVER 350 SCHOOL SITES OUR GOAL FOR OUR ALL-STARS ARE THE SAME WE HAVE FOR OUR OWN CHILDREN TO BE HEALTHY ACTIVE, TO GRADUATE HIGH SCHOOL AND GO ON TO COLLEGE, TO FIND A JOB THAT THEY WILL LOVEAND TO GIVE BACK TO THEIR COMMUNITIES. WE ACHIEVE THIS BY FUELING OUR STUDENTS' PASSION BY TYING THEIR INTERESTS TO ACADEMIC SUPPORT, ENRICHMENT ACTIVITIES AND HEALTH AND FITNESS PROGRAMS THAT INSTILL THE CONFIDENCE AND RESILIENCE THEY'LL NEED TO SUCCESS IN SCHOOL AND IN LIFE.",25,25,113,3,0,3455435,5217462,248306,251,259,676154,851913,4582502,6317940,1219054,1006469,0,1651001,2840813,0,555165,1196340,2076982,4066395,5924264,516107,393676,3279043,3606435,413760,347476,2865283,3258959
