Legislation Number,Legislation Category,Legislation Type,Short Title,Introduction Date,Status,Act/Res Number,Law Number,Comittee Referral,Introduced By,Co-Sponsor(s)
B23-0187,Bill,Permanent Bill,Community Health Investment Act of 2019,"Mar 5, 2019",New, , ,Committee on Health,Chairman Mendelson at the request of the Mayor, 
B23-0178,Bill,Permanent Bill,Interagency Council on Behavioral Health Establishment Amendment Act of 2019,"Mar 5, 2019",New, , ,Committee on Health,"Councilmembers Grosso, Silverman, Nadeau, McDuffie, and Todd",Councilmembers Gray and Allen
B23-0186,Bill,Permanent Bill,Protection of Seniors and Vulnerable Adults from Financial Exploitation Act of 2019 ,"Mar 5, 2019",New, , ,Committee on Business and Economic Development,Chairman Mendelson at the request of the Mayor, 
B23-0185,Bill,Permanent Bill,Financial Services Consumer Protection Act of 2019,"Mar 5, 2019",New, , ,Committee on Business and Economic Development,Chairman Mendelson at the request of the Mayor, 
B23-0184,Bill,Permanent Bill,Restrictions on the Use of Credit Information Amendment Act of 2019,"Mar 5, 2019",New, , ,Committee on Business and Economic Development,Chairman Mendelson at the request of the Mayor, 
B23-0180,Bill,Permanent Bill,On-Site Services Act of 2019,"Mar 5, 2019",New, , ,Committee on Human Services and Committee on Housing and Neighborhood Revitalization,"Councilmembers Nadeau, McDuffie, R. White, Cheh, T. White, Silverman, Grosso, and Bonds",Councilmembers Allen and Gray
B23-0179,Bill,Permanent Bill,Housing Voucher Discrimination Penalty Amendment Act of 2019,"Mar 5, 2019",New, , ,Committee on Government Operations,"Councilmembers Silverman, Nadeau, Allen, Grosso, Evans, and Bonds","Councilmembers McDuffie, Todd, R. White, Cheh, and T. White"
B23-0177,Bill,Permanent Bill,Green Building Residential Metering Amendment Act of 2019,"Mar 5, 2019",New, , ,Committee on Business and Economic Development,"Councilmembers Bonds, Grosso, Allen, and Todd",Councilmembers Gray and Nadeau
B23-0175,Bill,Permanent Bill,Elder Abuse Response Team Act of 2019,"Mar 5, 2019",New, , ,Committee on Judiciary and Public Safety,"Councilmembers Bonds, Todd, Gray, Grosso, and R. White","Councilmembers Allen, Evans, McDuffie, Nadeau, Cheh, and T. White"
B23-0174,Bill,Permanent Bill,Small Business Bonding Program Establishment Amendment Act of 2019,"Mar 5, 2019",New, , ,Committee on Business and Economic Development,"Councilmembers McDuffie, Allen, T. White, R. White, Cheh, Todd, Grosso, Evans, Bonds, Nadeau, Gray, and Chairman Mendelson", 
